text,subject,label
GOOG META AMZN all have ad businesses but META is the only one where its actually accelerating,GOOG,neutral
GOOG META AMZN all have ad businesses but META is the only one where its actually accelerating,AMZN,neutral
AAPL is stagnating TSLA is imploding but NVDA is doing exactly what bulls predicted,AAPL,bearish
AAPL is stagnating TSLA is imploding but NVDA is doing exactly what bulls predicted,TSLA,bearish
AAPL is stagnating TSLA is imploding but NVDA is doing exactly what bulls predicted,NVDA,bullish
"top picks for 2025: long MSFT NVDA AMZN, avoid TSLA INTC GOOG",MSFT,bullish
"top picks for 2025: long MSFT NVDA AMZN, avoid TSLA INTC GOOG",NVDA,bullish
"top picks for 2025: long MSFT NVDA AMZN, avoid TSLA INTC GOOG",AMZN,bullish
"top picks for 2025: long MSFT NVDA AMZN, avoid TSLA INTC GOOG",TSLA,bearish
"top picks for 2025: long MSFT NVDA AMZN, avoid TSLA INTC GOOG",INTC,bearish
"if i had to go all in on three names it would be NVDA MSFT META, the AI trifecta",NVDA,bullish
"if i had to go all in on three names it would be NVDA MSFT META, the AI trifecta",MSFT,bullish
"if i had to go all in on three names it would be NVDA MSFT META, the AI trifecta",META,bullish
NVDA makes the chips META buys the chips GOOG tries to make their own chips but fails lol,NVDA,bullish
NVDA makes the chips META buys the chips GOOG tries to make their own chips but fails lol,META,neutral
NVDA makes the chips META buys the chips GOOG tries to make their own chips but fails lol,GOOG,bearish
AMZN GOOG MSFT all fighting over cloud but only AMZN has the logistics moat nobody talks about,AMZN,bullish
AMZN GOOG MSFT all fighting over cloud but only AMZN has the logistics moat nobody talks about,GOOG,neutral
AMZN GOOG MSFT all fighting over cloud but only AMZN has the logistics moat nobody talks about,MSFT,neutral
people sleeping on AMD while NVDA is overvalued af at 40x forward earnings,AMD,bullish
people sleeping on AMD while NVDA is overvalued af at 40x forward earnings,NVDA,bearish
"AMD finally taking datacenter share from NVDA with MI300, this is the year AMD catches up",AMD,bullish
"AMD finally taking datacenter share from NVDA with MI300, this is the year AMD catches up",NVDA,bearish
"NVDA cuda moat is real, AMD ROCm is years behind and every dev knows it",NVDA,bullish
"NVDA cuda moat is real, AMD ROCm is years behind and every dev knows it",AMD,bearish
AMD MI300 benchmarks look solid but NVDA blackwell is about to drop and make it irrelevant,AMD,neutral
AMD MI300 benchmarks look solid but NVDA blackwell is about to drop and make it irrelevant,NVDA,bullish
"NVDA earnings were insane as expected, AMD earnings were just ok nothing special",NVDA,bullish
"NVDA earnings were insane as expected, AMD earnings were just ok nothing special",AMD,neutral
NVDA to the moon while INTC bagholders cope with another failed roadmap lol,NVDA,bullish
NVDA to the moon while INTC bagholders cope with another failed roadmap lol,INTC,bearish
NVDA is literally free money right now while INTC is a value trap that will never recover,NVDA,bullish
NVDA is literally free money right now while INTC is a value trap that will never recover,INTC,bearish
bears been calling NVDA overvalued since 200 while shilling INTC at 50 lol who won,NVDA,bullish
bears been calling NVDA overvalued since 200 while shilling INTC at 50 lol who won,INTC,bearish
"sure INTC is gonna make a comeback just like my portfolio is gonna recover lmao, at least NVDA holders are eating good",INTC,bearish
"sure INTC is gonna make a comeback just like my portfolio is gonna recover lmao, at least NVDA holders are eating good",NVDA,bullish
INTC at these prices is actually interesting as a deep value play unlike NVDA which is pricing in perfection,INTC,bullish
INTC at these prices is actually interesting as a deep value play unlike NVDA which is pricing in perfection,NVDA,bearish
AMD MI300 is legit while INTC cant even tape out on time,AMD,bullish
AMD MI300 is legit while INTC cant even tape out on time,INTC,bearish
AMD keeps stealing server market share from INTC quarter after quarter its not even funny anymore,AMD,bullish
AMD keeps stealing server market share from INTC quarter after quarter its not even funny anymore,INTC,bearish
"INTC foundry getting government subsidies while AMD has to actually compete on merit, still buying AMD",INTC,neutral
"INTC foundry getting government subsidies while AMD has to actually compete on merit, still buying AMD",AMD,bullish
"AVGO networking chips are printing money, meanwhile QCOM is too dependent on one customer",AVGO,bullish
"AVGO networking chips are printing money, meanwhile QCOM is too dependent on one customer",QCOM,bearish
QCOM snapdragon is dominating mobile while AVGO just quietly collects networking royalties,QCOM,bullish
QCOM snapdragon is dominating mobile while AVGO just quietly collects networking royalties,AVGO,neutral
"AVGO vmware acquisition is pure genius, vertical integration play that CSCO tried and failed at",AVGO,bullish
"AVGO vmware acquisition is pure genius, vertical integration play that CSCO tried and failed at",CSCO,bearish
"QCOM diversifying into automotive while AVGO just keeps buying companies, both solid strategies but AVGO wins",QCOM,neutral
"QCOM diversifying into automotive while AVGO just keeps buying companies, both solid strategies but AVGO wins",AVGO,bullish
NVDA is absolutely crushing it in datacenter but AMD keeps losing market share and INTC is basically dead,NVDA,bullish
NVDA is absolutely crushing it in datacenter but AMD keeps losing market share and INTC is basically dead,AMD,bearish
NVDA is absolutely crushing it in datacenter but AMD keeps losing market share and INTC is basically dead,INTC,bearish
"INTC getting way too much hate imo, their foundry play could destroy both NVDA and AMD long term",INTC,bullish
"INTC getting way too much hate imo, their foundry play could destroy both NVDA and AMD long term",NVDA,bearish
"INTC getting way too much hate imo, their foundry play could destroy both NVDA and AMD long term",AMD,bearish
semiconductor trade: long NVDA short INTC with AMD as a hedge position,NVDA,bullish
semiconductor trade: long NVDA short INTC with AMD as a hedge position,INTC,bearish
semiconductor trade: long NVDA short INTC with AMD as a hedge position,AMD,neutral
INTC 18A process node could genuinely leapfrog TSMC and take business from both NVDA and AMD,INTC,bullish
INTC 18A process node could genuinely leapfrog TSMC and take business from both NVDA and AMD,NVDA,bearish
INTC 18A process node could genuinely leapfrog TSMC and take business from both NVDA and AMD,AMD,bearish
"the semis pecking order is clear: NVDA tier 1, AMD tier 2, INTC tier 3, nothing has changed",NVDA,bullish
"the semis pecking order is clear: NVDA tier 1, AMD tier 2, INTC tier 3, nothing has changed",AMD,neutral
"the semis pecking order is clear: NVDA tier 1, AMD tier 2, INTC tier 3, nothing has changed",INTC,bearish
"AVGO QCOM TXN are my boring semi picks for income, leave the NVDA AMD drama to traders",AVGO,bullish
"AVGO QCOM TXN are my boring semi picks for income, leave the NVDA AMD drama to traders",QCOM,bullish
"AVGO QCOM TXN are my boring semi picks for income, leave the NVDA AMD drama to traders",TXN,bullish
if AI demand slows down NVDA AMD AVGO all get hit but NVDA has the furthest to fall,NVDA,bearish
if AI demand slows down NVDA AMD AVGO all get hit but NVDA has the furthest to fall,AMD,bearish
if AI demand slows down NVDA AMD AVGO all get hit but NVDA has the furthest to fall,AVGO,neutral
AMAT and LRCX are the real semi winners because they sell the picks and shovels to everyone including INTC,AMAT,bullish
AMAT and LRCX are the real semi winners because they sell the picks and shovels to everyone including INTC,LRCX,bullish
AMAT and LRCX are the real semi winners because they sell the picks and shovels to everyone including INTC,INTC,neutral
semi equipment plays: AMAT LRCX KLAC all look great but AMAT has the best margin profile,AMAT,bullish
semi equipment plays: AMAT LRCX KLAC all look great but AMAT has the best margin profile,LRCX,bullish
semi equipment plays: AMAT LRCX KLAC all look great but AMAT has the best margin profile,KLAC,neutral
"NVDA GPU shortage benefits AVGO custom silicon business, bad for AMD who needs volume to compete",NVDA,neutral
"NVDA GPU shortage benefits AVGO custom silicon business, bad for AMD who needs volume to compete",AVGO,bullish
"NVDA GPU shortage benefits AVGO custom silicon business, bad for AMD who needs volume to compete",AMD,bearish
"long NVDA and AVGO short INTC is literally the easiest semi trade, been working for 3 years straight",NVDA,bullish
"long NVDA and AVGO short INTC is literally the easiest semi trade, been working for 3 years straight",AVGO,bullish
"long NVDA and AVGO short INTC is literally the easiest semi trade, been working for 3 years straight",INTC,bearish
"TXN analog business is rock solid and boring which is exactly what i want, not the INTC rollercoaster",TXN,bullish
"TXN analog business is rock solid and boring which is exactly what i want, not the INTC rollercoaster",INTC,bearish
QCOM snapdragon is dominating mobile while INTC cant even compete in laptops anymore smh,QCOM,bullish
QCOM snapdragon is dominating mobile while INTC cant even compete in laptops anymore smh,INTC,bearish
"TXN and AVGO are the best risk adjusted semi plays, NVDA is great but the volatility is insane",TXN,bullish
"TXN and AVGO are the best risk adjusted semi plays, NVDA is great but the volatility is insane",AVGO,bullish
"TXN and AVGO are the best risk adjusted semi plays, NVDA is great but the volatility is insane",NVDA,neutral
CRM is finally showing operating leverage while ADBE creative cloud growth is stalling hard,CRM,bullish
CRM is finally showing operating leverage while ADBE creative cloud growth is stalling hard,ADBE,bearish
"PLTR is the real AI play not ORCL, larry ellison just slapping AI labels on legacy databases",PLTR,bullish
"PLTR is the real AI play not ORCL, larry ellison just slapping AI labels on legacy databases",ORCL,bearish
"PANW cybersecurity moat is insane, CSCO trying to compete but theyre 10 years behind",PANW,bullish
"PANW cybersecurity moat is insane, CSCO trying to compete but theyre 10 years behind",CSCO,bearish
CRM agentforce is actually impressive ngl while IBM watson is still a joke after all these years,CRM,bullish
CRM agentforce is actually impressive ngl while IBM watson is still a joke after all these years,IBM,bearish
ADBE firefly AI is keeping them relevant but MSFT designer is free and good enough for most people,ADBE,neutral
ADBE firefly AI is keeping them relevant but MSFT designer is free and good enough for most people,MSFT,bullish
"INTU turbotax monopoly is disgusting but profitable af, unlike PLTR which burns cash on govt contracts",INTU,bullish
"INTU turbotax monopoly is disgusting but profitable af, unlike PLTR which burns cash on govt contracts",PLTR,bearish
ORCL database revenue is surprisingly resilient while IBM mainframe business is on life support,ORCL,bullish
ORCL database revenue is surprisingly resilient while IBM mainframe business is on life support,IBM,bearish
PLTR valuation is insane for a company with 20% revenue growth meanwhile CRM is actually cheap on a PEG basis,PLTR,bearish
PLTR valuation is insane for a company with 20% revenue growth meanwhile CRM is actually cheap on a PEG basis,CRM,bullish
"CSCO networking is a commodity now, PANW is where the real margins are in enterprise IT",CSCO,bearish
"CSCO networking is a commodity now, PANW is where the real margins are in enterprise IT",PANW,bullish
"IBM consulting revenue is garbage while ACN keeps winning huge contracts, quality difference is obvious",IBM,bearish
"IBM consulting revenue is garbage while ACN keeps winning huge contracts, quality difference is obvious",ACN,bullish
"ADBE stock is dead money, INTU at least has the tax moat that nobody can break",ADBE,bearish
"ADBE stock is dead money, INTU at least has the tax moat that nobody can break",INTU,bullish
PLTR government contracts are a goldmine but CRM enterprise SaaS is more diversified and safer,PLTR,neutral
PLTR government contracts are a goldmine but CRM enterprise SaaS is more diversified and safer,CRM,bullish
"software picks: long CRM PANW, short IBM, the AI haves and have nots",CRM,bullish
"software picks: long CRM PANW, short IBM, the AI haves and have nots",PANW,bullish
"software picks: long CRM PANW, short IBM, the AI haves and have nots",IBM,bearish
"PLTR PANW CRM are the three best software names for AI tailwinds, everything else is legacy trash",PLTR,bullish
"PLTR PANW CRM are the three best software names for AI tailwinds, everything else is legacy trash",PANW,bullish
"PLTR PANW CRM are the three best software names for AI tailwinds, everything else is legacy trash",CRM,bullish
my software basket: long PLTR and CRM but avoiding ADBE because creative tools are getting commoditized,PLTR,bullish
my software basket: long PLTR and CRM but avoiding ADBE because creative tools are getting commoditized,CRM,bullish
my software basket: long PLTR and CRM but avoiding ADBE because creative tools are getting commoditized,ADBE,bearish
"ORCL CSCO IBM are all legacy names trying to reinvent themselves, only ORCL has a real shot",ORCL,bullish
"ORCL CSCO IBM are all legacy names trying to reinvent themselves, only ORCL has a real shot",CSCO,bearish
"ORCL CSCO IBM are all legacy names trying to reinvent themselves, only ORCL has a real shot",IBM,bearish
cybersecurity showdown: PANW is the winner CSCO is struggling and PLTR is the wild card with government AI,PANW,bullish
cybersecurity showdown: PANW is the winner CSCO is struggling and PLTR is the wild card with government AI,CSCO,bearish
cybersecurity showdown: PANW is the winner CSCO is struggling and PLTR is the wild card with government AI,PLTR,neutral
"JPM earnings were a blowout, GS on the other hand completely missed on trading revenue",JPM,bullish
"JPM earnings were a blowout, GS on the other hand completely missed on trading revenue",GS,bearish
GS investment banking pipeline is insane rn while BAC is just sitting there doing nothing,GS,bullish
GS investment banking pipeline is insane rn while BAC is just sitting there doing nothing,BAC,bearish
"BAC is a solid value play but JPM is the undisputed king, no comparison really",BAC,neutral
"BAC is a solid value play but JPM is the undisputed king, no comparison really",JPM,bullish
"JPM profit up 35% yoy while BAC barely grew, quality matters in banking",JPM,bullish
"JPM profit up 35% yoy while BAC barely grew, quality matters in banking",BAC,bearish
"BRK cash pile is insane, buffett clearly bearish on market while JPM is deploying capital aggressively",BRK,neutral
"BRK cash pile is insane, buffett clearly bearish on market while JPM is deploying capital aggressively",JPM,bullish
GS prime brokerage is best in class but SCHW retail brokerage is where the real growth is,GS,neutral
GS prime brokerage is best in class but SCHW retail brokerage is where the real growth is,SCHW,bullish
COIN is printing money with crypto volumes while GS pulled back from digital assets like cowards,COIN,bullish
COIN is printing money with crypto volumes while GS pulled back from digital assets like cowards,GS,bearish
WFC is still cleaning up scandals while JPM just keeps executing flawlessly,WFC,bearish
WFC is still cleaning up scandals while JPM just keeps executing flawlessly,JPM,bullish
MS wealth management is growing faster than GS and the margins are way better,MS,bullish
MS wealth management is growing faster than GS and the margins are way better,GS,bearish
"SCHW after the TDAC merger is a monster, BAC retail banking cant compete with zero commissions",SCHW,bullish
"SCHW after the TDAC merger is a monster, BAC retail banking cant compete with zero commissions",BAC,bearish
BLK ETF dominance is only growing while traditional asset managers like MS are losing share,BLK,bullish
BLK ETF dominance is only growing while traditional asset managers like MS are losing share,MS,bearish
AXP spending data shows consumer is strong which is bullish AXP but bearish for WFC credit losses,AXP,bullish
AXP spending data shows consumer is strong which is bullish AXP but bearish for WFC credit losses,WFC,bearish
"COIN crypto winter is over and theyre the only regulated exchange, bullish af vs legacy banks like BAC",COIN,bullish
"COIN crypto winter is over and theyre the only regulated exchange, bullish af vs legacy banks like BAC",BAC,neutral
"TSLA valuation makes zero sense at these levels, id rather own boring JPM for the dividend yield",TSLA,bearish
"TSLA valuation makes zero sense at these levels, id rather own boring JPM for the dividend yield",JPM,bullish
"banking tier list: JPM S tier, GS A tier, BAC and WFC C tier at best",JPM,bullish
"banking tier list: JPM S tier, GS A tier, BAC and WFC C tier at best",GS,bullish
"banking tier list: JPM S tier, GS A tier, BAC and WFC C tier at best",BAC,bearish
"banking tier list: JPM S tier, GS A tier, BAC and WFC C tier at best",WFC,bearish
big bank earnings: JPM crushed it GS was solid BAC disappointed again as usual,JPM,bullish
big bank earnings: JPM crushed it GS was solid BAC disappointed again as usual,GS,bullish
big bank earnings: JPM crushed it GS was solid BAC disappointed again as usual,BAC,bearish
"my financials basket is JPM SCHW BLK, avoiding BAC WFC like the plague",JPM,bullish
"my financials basket is JPM SCHW BLK, avoiding BAC WFC like the plague",SCHW,bullish
"my financials basket is JPM SCHW BLK, avoiding BAC WFC like the plague",BLK,bullish
fintech vs banks: COIN is winning retail GS is winning institutional BAC is losing everywhere,COIN,bullish
fintech vs banks: COIN is winning retail GS is winning institutional BAC is losing everywhere,GS,bullish
fintech vs banks: COIN is winning retail GS is winning institutional BAC is losing everywhere,BAC,bearish
"JPM GS MS all reporting next week, expecting JPM to beat GS to meet and MS to miss",JPM,bullish
"JPM GS MS all reporting next week, expecting JPM to beat GS to meet and MS to miss",GS,neutral
"JPM GS MS all reporting next week, expecting JPM to beat GS to meet and MS to miss",MS,bearish
LLY GLP-1 dominance is unreal while PFE is struggling post covid with nothing in the pipeline,LLY,bullish
LLY GLP-1 dominance is unreal while PFE is struggling post covid with nothing in the pipeline,PFE,bearish
PFE at these prices is actually a decent contrarian play but LLY momentum is unstoppable,PFE,neutral
PFE at these prices is actually a decent contrarian play but LLY momentum is unstoppable,LLY,bullish
JNJ after the split is interesting but ABBV humira cliff is a real problem,JNJ,neutral
JNJ after the split is interesting but ABBV humira cliff is a real problem,ABBV,bearish
"UNH managed care moat is insane, JNJ medical devices are solid but boring",UNH,bullish
"UNH managed care moat is insane, JNJ medical devices are solid but boring",JNJ,neutral
MRK keytruda revenue keeps growing while BMY opdivo is losing share fast,MRK,bullish
MRK keytruda revenue keeps growing while BMY opdivo is losing share fast,BMY,bearish
"LLY is the best pharma name by far, PFE and BMY are both uninvestable right now",LLY,bullish
"LLY is the best pharma name by far, PFE and BMY are both uninvestable right now",PFE,bearish
"LLY is the best pharma name by far, PFE and BMY are both uninvestable right now",BMY,bearish
AMGN biosimilar pipeline is underrated while PFE keeps acquiring garbage companies,AMGN,bullish
AMGN biosimilar pipeline is underrated while PFE keeps acquiring garbage companies,PFE,bearish
ABBV aesthetics portfolio is actually growing nicely while JNJ consumer spinoff is meh,ABBV,bullish
ABBV aesthetics portfolio is actually growing nicely while JNJ consumer spinoff is meh,JNJ,neutral
"UNH is expensive but worth it, PFE is cheap but its cheap for a reason",UNH,bullish
"UNH is expensive but worth it, PFE is cheap but its cheap for a reason",PFE,bearish
ISRG robotic surgery is the future while JNJ surgical tools feel like stone age tech,ISRG,bullish
ISRG robotic surgery is the future while JNJ surgical tools feel like stone age tech,JNJ,bearish
"pharma picks: LLY is must own, MRK is solid, PFE is a falling knife dont catch it",LLY,bullish
"pharma picks: LLY is must own, MRK is solid, PFE is a falling knife dont catch it",MRK,bullish
"pharma picks: LLY is must own, MRK is solid, PFE is a falling knife dont catch it",PFE,bearish
"healthcare mega caps ranked: LLY UNH top tier, JNJ MRK middle, PFE BMY bottom",LLY,bullish
"healthcare mega caps ranked: LLY UNH top tier, JNJ MRK middle, PFE BMY bottom",UNH,bullish
"healthcare mega caps ranked: LLY UNH top tier, JNJ MRK middle, PFE BMY bottom",PFE,bearish
"healthcare mega caps ranked: LLY UNH top tier, JNJ MRK middle, PFE BMY bottom",BMY,bearish
the GLP-1 trade is LLY obviously but also bearish PFE and JNJ because theyre losing pipeline mindshare,LLY,bullish
the GLP-1 trade is LLY obviously but also bearish PFE and JNJ because theyre losing pipeline mindshare,PFE,bearish
the GLP-1 trade is LLY obviously but also bearish PFE and JNJ because theyre losing pipeline mindshare,JNJ,bearish
ABBV AMGN MRK all have patent cliff concerns but MRK keytruda franchise is the best positioned,MRK,bullish
ABBV AMGN MRK all have patent cliff concerns but MRK keytruda franchise is the best positioned,ABBV,bearish
ABBV AMGN MRK all have patent cliff concerns but MRK keytruda franchise is the best positioned,AMGN,neutral
"my healthcare longs are UNH LLY ISRG, the innovation leaders, avoiding legacy pharma names",UNH,bullish
"my healthcare longs are UNH LLY ISRG, the innovation leaders, avoiding legacy pharma names",LLY,bullish
"my healthcare longs are UNH LLY ISRG, the innovation leaders, avoiding legacy pharma names",ISRG,bullish
NFLX ad tier is crushing it while GOOG youtube premium growth is slowing down,NFLX,bullish
NFLX ad tier is crushing it while GOOG youtube premium growth is slowing down,GOOG,bearish
"COST membership model is genius, WMT is trying to copy it but plus membership isnt the same thing",COST,bullish
"COST membership model is genius, WMT is trying to copy it but plus membership isnt the same thing",WMT,bearish
KO is the definition of a boring cash cow but PEP snack business makes it more interesting,KO,neutral
KO is the definition of a boring cash cow but PEP snack business makes it more interesting,PEP,bullish
MCD is struggling with value perception while CMG keeps raising prices and nobody cares lmao,MCD,bearish
MCD is struggling with value perception while CMG keeps raising prices and nobody cares lmao,CMG,bullish
WMT grocery dominance is unmatched but COST same store sales growth is way more impressive,WMT,neutral
WMT grocery dominance is unmatched but COST same store sales growth is way more impressive,COST,bullish
"NFLX pricing power is insane, they keep raising prices and people keep paying, meanwhile AMZN prime video is an afterthought",NFLX,bullish
"NFLX pricing power is insane, they keep raising prices and people keep paying, meanwhile AMZN prime video is an afterthought",AMZN,neutral
"BKNG travel demand is booming and they take a cut of everything, MCD restaurant traffic is declining",BKNG,bullish
"BKNG travel demand is booming and they take a cut of everything, MCD restaurant traffic is declining",MCD,bearish
PEP frito lay margins are incredible while KO is just sugar water with no growth story,PEP,bullish
PEP frito lay margins are incredible while KO is just sugar water with no growth story,KO,bearish
"CMG digital sales growth is bonkers, MCD app is mid at best compared to that",CMG,bullish
"CMG digital sales growth is bonkers, MCD app is mid at best compared to that",MCD,bearish
"consumer defensive picks: COST is the goat, WMT is fine, MCD is struggling hard",COST,bullish
"consumer defensive picks: COST is the goat, WMT is fine, MCD is struggling hard",WMT,neutral
"consumer defensive picks: COST is the goat, WMT is fine, MCD is struggling hard",MCD,bearish
